Id,Release_Date,Title,Vote_Average,Original_Language,Genre
289,2013-12-25,The Wolf of Wall Street,8,en,"Crime, Drama, Comedy"
290,2021-12-30,Hilda and the Mountain King,7.4,en,"Animation, Adventure, Fantasy, Family, TV Movie"
291,2021-06-04,Rurouni Kenshin: The Beginning,7.8,ja,"Action, Adventure, Drama"
292,2021-12-24,Minnal Murali,7.2,ml,"Action, Adventure, Comedy"
293,2019-07-12,Pokémon: Mewtwo Strikes Back - Evolution,6.7,ja,"Animation, Adventure, Fantasy, Action, Family"
294,2021-07-30,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,7,ja,"Animation, Action, Adventure, Fantasy"
295,2014-08-07,Teenage Mutant Ninja Turtles,5.9,en,"Science Fiction, Action, Adventure, Comedy"
296,2015-02-11,Fifty Shades of Grey,5.9,en,"Drama, Romance, Thriller"
297,2021-11-15,Never Back Down: Revolt,6.6,en,Action
298,2021-01-15,Wish Dragon,8.1,en,"Animation, Family, Comedy, Fantasy"
299,2002-03-10,Ice Age,7.3,en,"Animation, Comedy, Family, Adventure"
300,2019-08-01,Fast & Furious Presents: Hobbs & Shaw,6.9,en,"Action, Adventure, Comedy"
301,1999-10-30,Toy Story 2,7.6,en,"Animation, Comedy, Family"
302,2021-08-18,Sweet Girl,6.8,en,Action
303,2021-08-18,The Stronghold,7.5,fr,Thriller
304,2021-05-20,Spirit Untamed,7.5,en,"Animation, Adventure, Family, Western"
305,2021-04-29,Tom Clancy's Without Remorse,7.1,en,"Action, Thriller"
306,2010-10-17,Harry Potter and the Deathly Hallows: Part 1,7.8,en,"Adventure, Fantasy"
307,2021-10-09,Injustice,7.8,en,"Animation, Science Fiction, Fantasy, Action"
308,2021-10-27,Nobody Sleeps in the Woods Tonight 2,4,pl,"Horror, Thriller, Comedy"
309,2021-03-06,American Badger,5.9,en,Action
310,2021-03-08,Evangelion: 3.0+1.0 Thrice Upon a Time,8.5,ja,"Animation, Action, Science Fiction, Drama"
311,2021-10-08,LOL Surprise: The Movie,6.8,en,"Animation, Family"
312,2009-02-05,Coraline,7.8,en,"Animation, Family, Fantasy"
313,2020-11-19,How I Became a Superhero,6.2,fr,"Science Fiction, Adventure, Mystery, Action, Thriller, Fantasy, Comedy"
314,2022-03-17,The Bad Guys,0,en,"Animation, Comedy, Action, Family, Crime"
315,2018-09-28,Venom,6.9,en,"Science Fiction, Action"
316,2021-07-30,The Last Mercenary,6.8,fr,"Action, Comedy"
317,2011-06-11,Cars 2,6,en,"Animation, Family, Adventure, Comedy"
318,2022-02-09,Downfall: The Case Against Boeing,7.4,en,Documentary
319,2007-06-28,Ratatouille,7.8,en,"Animation, Comedy, Family, Fantasy"
320,2021-12-02,Mickey and Minnie Wish Upon a Christmas,7.2,en,Animation
321,1993-03-06,Dragon Ball Z: Broly – The Legendary Super Saiyan,7.2,ja,"Animation, Science Fiction, Action"
322,2022-05-04,Doctor Strange in the Multiverse of Madness,0,en,"Fantasy, Action, Adventure"
323,2022-02-09,Death on the Nile,6.7,en,"Mystery, Crime, Drama, Thriller"
324,2021-05-14,Army of the Dead,6.3,en,"Action, Crime, Horror, Thriller"
325,2021-11-12,Home Sweet Home Alone,5.2,en,"Family, Comedy"
326,2009-09-04,Carriers,6.1,en,"Action, Drama, Horror, Science Fiction, Thriller"
327,2016-08-01,Boyka: Undisputed IV,7,en,"Action, Drama"
328,2009-10-10,2012,5.8,en,"Action, Adventure, Science Fiction"
329,2021-07-06,Why Women Cheat,3.3,en,Romance
330,2016-11-23,Sing,7.1,en,"Animation, Comedy, Family, Music"
331,2011-06-16,Green Lantern,5.2,en,"Adventure, Action, Thriller, Science Fiction"
332,2020-07-15,Peninsula,6.9,ko,"Action, Horror, Thriller"
333,2015-06-25,Ted 2,6.3,en,Comedy
334,1985-01-15,High School Teacher: Maturing,5.9,ja,Drama
335,2017-05-30,Wonder Woman,7.3,en,"Action, Adventure, Fantasy"
336,2022-03-04,A Day to Die,4.7,en,"Action, Thriller, Crime"
337,2021-03-12,Cosmic Sin,4.2,en,"Action, Adventure, Science Fiction"
338,2007-05-19,Pirates of the Caribbean: At World's End,7.2,en,"Adventure, Fantasy, Action"
339,2010-01-21,Legion,5.8,en,"Horror, Action, Fantasy"
